Accession;Taxid;Species;Order;Status
GCA_905187475.1;34682;Syritta pipiens;Diptera;0
GCA_921028485.1;40079;Ephestia kuehniella;Lepidoptera;0
GCA_911392485.1;33443;Heliconius sara;Lepidoptera;0
GCA_911387925.2;30191;Bombus hypnorum;Hymenoptera;0
GCA_936014575.1;30192;Bombus lapidarius;Hymenoptera;0
GCA_930367275.1;30194;Bombus pratorum;Hymenoptera;0
GCA_911622165.2;30201;Bombus sylvestris;Hymenoptera;0
GCA_010416935.1;30207;Polistes fuscatus;Hymenoptera;0
GCA_001586405.1;40077;Phoebis sennae;Lepidoptera;0
GCA_000149185.1;39758;Mayetiola destructor;Diptera;0
GCA_902732785.1;72267;Trichogramma evanescens;Hymenoptera;0
GCA_020086525.1;72366;Scirpophaga incertulas;Lepidoptera;0
GCA_003651465.1;72781;Formica exsecta;Hymenoptera;0
GCA_905147705.2;42275;Vanessa atalanta;Lepidoptera;0
GCA_016801865.2;42434;Culexpipiens;Diptera;0
GCA_943734835.1;42839;Anopheles aquasalis;Diptera;0
GCA_007018985.1;42896;Anopheles bwambae;Diptera;0
GCA_000349165.1;43041;Anopheles christyi;Diptera;0
GCA_943734745.1;43151;Anopheles darlingi;Diptera;0
GCA_003314205.2;44477;Apismellifera;Hymenoptera;0
GCA_018903485.1;47316;Drosophila littoralis;Diptera;0
GCA_018904325.1;48335;Drosophila murphyi;Diptera;0
GCA_016617805.2;59916;Bactrocera tryoni;Diptera;0
GCA_008042585.1;60717;Drosophila punjabiensis;Diptera;0
GCA_018874655.1;61426;Drosophila diplacantha;Diptera;0
GCA_018874695.1;47315;Drosophila auraria;Diptera;0
GCA_018151085.1;46794;Drosophila tropicalis;Diptera;0
GCA_018252315.1;42267;Apodemia mormo;Lepidoptera;0
GCA_021223725.1;46829;Drosophila birchii;Diptera;0
GCA_003285875.3;47314;Drosophila novamexicana;Diptera;0
GCA_000001765.3;46245;Drosophilapseudoobscura;Diptera;0
GCA_014858655.1;45450;Chrysomya rufifacies;Diptera;0
GCA_018150545.1;42063;Drosophila ercepeae;Diptera;0
GCA_943734845.1;62324;Anopheles funestus;Diptera;0
GCA_902505575.1;51655;Plutella xylostella;Lepidoptera;0
GCA_900182495.1;58824;Plodia interpunctella;Lepidoptera;0
GCA_010015015.2;52719;Bolitophila cinerea;Diptera;0
GCA_943734655.1;53552;Sabethes cyaneus;Diptera;0
GCA_905163435.1;55057;Mamestra brassicae;Lepidoptera;0
GCA_004193855.1;56364;Agrotis ipsilon;Lepidoptera;0
