Accession;Taxid;Species;Order;Status
GCA_012932125.1;538958;Conopomorpha cramerella;Lepidoptera;0
GCA_003063835.1;602633;Aphaenogaster floridana;Hymenoptera;0
GCA_024363005.1;658839;Charaxes varanes;Lepidoptera;0
GCA_018230265.1;662802;Delias oraia;Lepidoptera;0
GCA_003055125.1;559696;Paykullia maculata;Diptera;0
GCA_017141405.1;554476;Asobara japonica;Hymenoptera;0
GCA_018231225.1;663902;Noctuana stator;Lepidoptera;0
GCA_001263275.1;597456;Habropoda laboriosa;Hymenoptera;0
GCA_920105625.2;576317;Clusia tigrina;Diptera;0
GCA_024533555.1;586676;Aedes koreicus;Diptera;0
GCA_900474335.1;591002;Ormyrus nitidulus;Hymenoptera;0
GCA_001017515.1;594049;Tephritis californica;Diptera;0
GCA_927399465.1;596942;Sarcophaga caerulescens;Diptera;0
GCA_010645165.1;597209;Tetragonula davenporti;Hymenoptera;0
GCA_014825495.1;600681;Pseudomyrmexsp.;Hymenoptera;0
GCA_900068685.1;544895;Heliconiusmelpomene;Lepidoptera;0
GCA_014825605.1;600709;Pseudomyrmex elongatus;Hymenoptera;0
GCA_024372645.1;543379;Trichomalopsis sarcophagae;Hymenoptera;0
GCA_943735925.1;670595;Pollenia amentaria;Diptera;0
GCA_944452675.1;631329;Tachina lurida;Diptera;0
GCA_003063805.1;602585;Aphaenogaster ashmeadi;Hymenoptera;0
GCA_936446695.1;613196;Nowickia ferox;Diptera;0
GCA_024268025.1;613905;Nylanderia fulva;Hymenoptera;0
GCA_017607525.1;621737;Pseudoatta argentina;Hymenoptera;0
GCA_003595255.1;625136;Solenopsis fugax;Hymenoptera;0
GCA_011638315.1;628798;Tetramorium parvispinum;Hymenoptera;0
GCA_905220375.1;631328;Tachina fera;Diptera;0
GCA_000147195.1;610380;Harpegnathos saltator;Hymenoptera;0
GCA_002156465.1;535359;Macrocentrus cingulum;Hymenoptera;0
GCA_901521435.1;531929;Crematogaster levior;Hymenoptera;0
GCA_001485985.1;441047;Heliconiusethilla;Lepidoptera;0
GCA_021901455.1;441921;Neodiprion lecontei;Hymenoptera;0
GCA_945859755.1;689061;Apamea sordens;Lepidoptera;0
GCA_018248535.1;676914;Hovala pardalina;Lepidoptera;0
GCA_001186105.1;680683;Amyelois transitella;Lepidoptera;0
GCA_014825825.1;686820;Bombus turneri;Hymenoptera;0
GCA_927399415.1;688445;Macaria notata;Lepidoptera;0
GCA_905220435.1;689058;Amphipyra tragopoginis;Lepidoptera;0
GCA_001313825.1;609295;Dinoponera quadriceps;Hymenoptera;0
GCA_905220465.1;644661;Deilephila porcellus;Lepidoptera;0
GCA_023159175.1;641482;Wohlfahrtia magnifica;Diptera;0
GCA_003063765.1;602636;Aphaenogaster fulva;Hymenoptera;0
GCA_003063725.1;602682;Aphaenogaster miamiana;Hymenoptera;0
GCA_003063865.1;602698;Aphaenogaster picea;Hymenoptera;0
GCA_913698475.1;608677;Gnoriste bilineata;Diptera;0
GCA_947086465.1;934847;Eupithecia exiguata;Lepidoptera;0
GCA_914767725.1;748215;Sesia apiformis;Lepidoptera;0
GCA_018236065.1;717267;Curvie emesia;Lepidoptera;0
GCA_018237205.1;717266;Emesis cypria;Lepidoptera;0
GCA_905147285.1;753189;Hypena proboscidalis;Lepidoptera;0
GCA_018236405.1;717265;Emesis brimo;Lepidoptera;0
GCA_018258255.2;871304;Lymantriadispar;Lepidoptera;0
GCA_018258235.2;871305;Lymantriadispar;Lepidoptera;0
GCA_902825455.1;874455;Arctia plantaginis;Lepidoptera;0
GCA_905220595.1;875880;Spilosoma lubricipeda;Lepidoptera;0
GCA_916048165.1;875881;Spilarctia lutea;Lepidoptera;0
GCA_018246275.1;866285;Papilio slateri;Lepidoptera;0
GCA_018236525.1;717269;Emesis lucinda;Lepidoptera;0
GCA_929442715.1;721165;Watsonalla binaria;Lepidoptera;0
GCA_905220475.3;722662;Ennomos fuscantarius;Lepidoptera;0
GCA_905147375.1;722673;Hylaea fasciaria;Lepidoptera;0
GCA_001465965.1;743375;Polistes dominula;Hymenoptera;0
GCA_018903435.1;745178;Leucophenga varia;Diptera;0
GCA_018237845.1;717276;Euselasia chrysippe;Lepidoptera;0
GCA_018237265.1;717268;Emesis lacrines;Lepidoptera;0
Torymus flavipes;714621;Torymus flavipes;Hymenoptera;0
GCA_004799115.1;702717;Tuta absoluta;Lepidoptera;0
GCA_018249175.1;705134;Aguna metophis;Lepidoptera;0
GCA_022318365.1;705135;Anthoptus insignis;Lepidoptera;0
GCA_936450705.1;708063;Protodeltote pygarga;Lepidoptera;0
GCA_019425675.1;711050;Leucinodes orbonalis;Lepidoptera;0
GCA_900474315.1;714620;Torymus auratus;Hymenoptera;0
GCA_910589525.2;875883;Ennomos quercinarius;Lepidoptera;0
GCA_946478455.1;934866;Eupithecia vulgata;Lepidoptera;0
GCA_900068355.1;1756245;Heliconiuselevatus;Lepidoptera;0
GCA_947095545.1;753441;Trisateles emortualis;Lepidoptera;0
GCA_927399475.2;758706;Acleris emargana;Lepidoptera;0
GCA_923062465.1;758717;Acleris sparsana;Lepidoptera;0
GCA_019925095.1;765133;Dendrolimus kikuchii;Lepidoptera;0
GCA_900474305.1;797374;Cecidostiba fungosa;Hymenoptera;0
GCA_946902865.1;753375;Nematopogon swammerdamellus;Lepidoptera;0
GCA_900068455.1;1756246;Heliconiushecuba;Lepidoptera;0
GCA_900068575.1;1756247;Heliconiusmelpomene;Lepidoptera;0
GCA_018234565.1;2691558;Junonianeildi;Lepidoptera;0
GCA_018232205.1;2691559;Junoniavestina;Lepidoptera;0
GCA_018233665.1;2691561;Junoniazonalis;Lepidoptera;0
GCA_003055095.1;863708;Goniozus legneri;Hymenoptera;0
GCA_905147745.2;875884;Phlogophora meticulosa;Lepidoptera;0
GCA_911387795.2;875885;Apamea monoglypha;Lepidoptera;0
GCA_905404295.2;876063;Ochlodes sylvanus;Lepidoptera;0
GCA_018231145.1;876077;Spialia orbifer;Lepidoptera;0
GCA_024137725.1;863751;Prorops nasuta;Hymenoptera;0
GCA_905147805.2;753216;Phalera bucephala;Lepidoptera;0
GCA_019049445.1;860918;Ampulex compressa;Hymenoptera;0
GCA_905163415.1;753202;Noctua fimbriata;Lepidoptera;0
GCA_905147325.1;753204;Notodonta dromedarius;Lepidoptera;0
GCA_932294345.1;753214;Pandemis cinnamomeana;Lepidoptera;0
GCA_905147775.1;721163;Thyatira batis;Lepidoptera;0
GCA_900474385.1;909788;Ormyrus pomaceus;Hymenoptera;0
GCA_003952975.1;928822;Scaptomyza flava;Diptera;0
GCA_905332345.1;929971;Nymphalis c-album;Lepidoptera;0
GCA_018247495.1;929994;Satarupa nymphalis;Lepidoptera;0
GCA_912999815.1;934813;Campaea margaritaria;Lepidoptera;0
GCA_932294275.1;934828;Chloroclysta siterata;Lepidoptera;0
GCA_001486245.1;884340;Heliconiusnumata;Lepidoptera;0
GCA_918811585.1;934888;Philereme vetulata;Lepidoptera;0
GCA_917880725.1;934894;Selenia dentaria;Lepidoptera;0
GCA_947086425.1;934904;Xanthorhoe spadicearia;Lepidoptera;0
GCA_914767945.1;987419;Eilema depressum;Lepidoptera;0
GCA_914829495.1;987424;Eilema sororculum;Lepidoptera;0
GCA_916618015.1;987431;Xestia c-nigrum;Lepidoptera;0
GCA_900480025.1;909778;Eupelmus annulatus;Hymenoptera;0
GCA_900474235.1;909773;Cecidostiba semifascia;Hymenoptera;0
GCA_907165225.1;721137;Habrosyne pyritoides;Lepidoptera;0
GCA_918843955.1;934839;Eulithis prunata;Lepidoptera;0
GCA_947049285.1;934875;Ligdia adustata;Lepidoptera;0
GCA_932526365.1;934876;Lobophora halterata;Lepidoptera;0
GCA_931315375.2;934882;Opisthograptis luteolata;Lepidoptera;0
GCA_018397935.1;903466;Propsilocerus akamusi;Diptera;0
GCA_907269135.1;934829;Crocallis elinguaria;Lepidoptera;0
GCA_001486745.1;884341;Heliconiusnumata;Lepidoptera;0
GCA_001486225.1;884342;Heliconiuspardalinus;Lepidoptera;0
GCA_945859575.1;987440;Herminia tarsipennalis;Lepidoptera;0
GCA_914767695.1;987449;Ptilodon capucinus;Lepidoptera;0
GCA_947063395.1;934942;Hemistola chrysoprasaria;Lepidoptera;0
GCA_013123115.1;935657;Colletes gigas;Hymenoptera;0
GCA_944739405.1;938167;Euclidia mi;Lepidoptera;0
GCA_905340225.1;938171;Abrostola tripartita;Lepidoptera;0
GCA_905163465.1;938226;Craniophora ligustri;Lepidoptera;0
GCA_911387715.2;881891;Dolichovespula media;Hymenoptera;0
GCA_018232385.1;876084;Muschampia tessellum;Lepidoptera;0
GCA_018237805.1;717296;Mesosemia grandis;Lepidoptera;0
GCA_018237665.1;717302;Nymphidium onaeum;Lepidoptera;0
GCA_018237485.1;717317;Sarota myrtea;Lepidoptera;0
GCA_018237325.1;717351;Calydna sturnula;Lepidoptera;0
GCA_018237705.1;717384;Symmachia rubina;Lepidoptera;0
GCA_929108405.1;934940;Gymnoscelis rufifasciata;Lepidoptera;0
GCA_947095555.1;934936;Electrophaes corylata;Lepidoptera;0
GCA_946251955.1;987865;Acronicta psi;Lepidoptera;0
GCA_914767755.1;987866;Agrochola circellaris;Lepidoptera;0
GCA_916701695.1;987872;Agrochola macilenta;Lepidoptera;0
GCA_939531245.2;987013;Thera britannica;Lepidoptera;0
GCA_905147035.1;938238;Laspeyria flexula;Lepidoptera;0
GCA_934044485.1;934915;Apeira syringaria;Lepidoptera;0
GCA_921293045.1;934917;Aplocera efformata;Lepidoptera;0
GCA_905147225.2;987935;Euproctis similis;Lepidoptera;0
GCA_946251885.1;987909;Cosmia pyralina;Lepidoptera;0
GCA_946251805.1;987918;Cybosia mesomella;Lepidoptera;0
GCA_943138005.2;988041;Tholera decimalis;Lepidoptera;0
GCA_932274075.1;987925;Diarsia rubi;Lepidoptera;0
GCA_921972225.1;987933;Euplexia lucipara;Lepidoptera;0
GCA_905475355.2;987902;Clostera curtula;Lepidoptera;0
GCA_911728495.1;987943;Furcula furcula;Lepidoptera;0
GCA_907164795.1;987953;Hemaris fuciformis;Lepidoptera;0
GCA_932294325.1;988056;Allophyes oxyacanthae;Lepidoptera;0
GCA_932526345.1;987895;Caradrina clavipalpis;Lepidoptera;0
GCA_002197625.1;998830;Bombyx huttoni;Lepidoptera;0
GCA_905404125.1;988018;Pheosia gnoma;Lepidoptera;0
GCA_905147275.1;987985;Mythimna impura;Lepidoptera;0
GCA_910589295.1;987995;Noctua janthe;Lepidoptera;0
GCA_918843915.1;988002;Notodonta ziczac;Lepidoptera;0
GCA_947038005.1;988004;Nycteola revayana;Lepidoptera;0
GCA_905333125.1;988019;Pheosia tremula;Lepidoptera;0
GCA_905187585.1;988025;Cyaniris semiargus;Lepidoptera;0
GCA_933228775.1;987980;Miltochrista miniata;Lepidoptera;0
GCA_936440415.1;987977;Meganola albula;Lepidoptera;0
GCA_916611985.1;997551;Mesoligia furuncula;Lepidoptera;0
GCA_022318285.1;1005070;Aguna claxon;Lepidoptera;0
GCA_929113785.1;987983;Mythimna albipuncta;Lepidoptera;0
GCA_932294315.1;989769;Epinotia nisella;Lepidoptera;0
GCA_937001585.1;988081;Brachylomia viminalis;Lepidoptera;0
GCA_917490735.1;988106;Dryobotodes eremita;Lepidoptera;0
GCA_941918905.1;997545;Xestia sexstrigata;Lepidoptera;0
GCA_905332915.2;988125;Hecatera dysodea;Lepidoptera;0
GCA_927399505.1;988174;Luperina testacea;Lepidoptera;0
GCA_905333075.3;988071;Atethmia centrago;Lepidoptera;0
GCA_018250415.1;993870;Entheussp.;Lepidoptera;0
GCA_018252375.1;994084;Zerasp.;Lepidoptera;0
GCA_018231665.1;996777;Papilio gigon;Lepidoptera;0
GCA_910589285.2;997540;Mythimna ferrago;Lepidoptera;0
GCA_905475435.1;987893;Autographa pulchrina;Lepidoptera;0
GCA_022342945.1;1337707;Junoniaevarete;Lepidoptera;0
GCA_929447575.1;1352479;Epistrophe grossulariae;Diptera;0
GCA_945859655.1;988060;Anorthoa munda;Lepidoptera;0
GCA_018250375.1;1029749;Narcosiusparisi;Lepidoptera;0
GCA_018238065.1;1043216;Leptidea juvernica;Lepidoptera;0
GCA_018251555.1;1030326;Autochton bipunctatus;Lepidoptera;0
GCA_018236585.1;1030327;Emesis aurimna;Lepidoptera;0
GCA_018251615.1;1030329;Spioniades abbreviata;Lepidoptera;0
GCA_023078275.1;1035111;Leguminivora glycinivorella;Lepidoptera;0
GCA_018152115.1;1041015;Drosophila rhopaloa;Diptera;0
GCA_944548615.1;1042620;Micropterix aruncella;Lepidoptera;0
GCA_018902335.1;1045633;Eumacrocentrus americanus;Hymenoptera;0
GCA_020466095.1;1046848;Chlorops oryzae;Diptera;0
GCA_018250795.1;1052498;Clitosp.;Lepidoptera;0
GCA_018250015.1;1053887;Nicephellus nicephorus;Lepidoptera;0
GCA_001486725.1;1077261;Heliconiusnumata;Lepidoptera;0
GCA_910591565.2;1100963;Cydia splendana;Lepidoptera;0
GCA_943735915.1;1096077;Pherbina coryleti;Diptera;0
GCA_946894065.1;1100899;Acleris literana;Lepidoptera;0
GCA_932273695.1;1100915;Apotomis betuletana;Lepidoptera;0
GCA_001486685.1;1109113;Heliconiustimareta;Lepidoptera;0
GCA_905147355.2;1100916;Apotomis turbidana;Lepidoptera;0
GCA_021464445.1;1086592;Cataglyphis hispanica;Hymenoptera;0
GCA_947034915.1;1100989;Eudemis profundana;Lepidoptera;0
GCA_911728535.1;1101027;Pammene fasciana;Lepidoptera;0
GCA_910589645.1;1101063;Tinea semifulvella;Lepidoptera;0
GCA_907165235.1;1101072;Zeuzera pyrina;Lepidoptera;0
GCA_916610145.1;1124515;Eristalis arbustorum;Diptera;0
GCA_944738625.1;1108570;Synanthedon myopaeformis;Lepidoptera;0
GCA_937001555.1;1101110;Hypsopygia costalis;Lepidoptera;0
GCA_018231345.1;1107551;Carcharodus tripolina;Lepidoptera;0
GCA_018230905.1;1107688;Muschampia proto;Lepidoptera;0
GCA_936446665.1;1108569;Synanthedon andrenaeformis;Lepidoptera;0
GCA_001486065.1;1109109;Heliconiushecale;Lepidoptera;0
GCA_001485725.1;1109111;Heliconiusismenius;Lepidoptera;0
GCA_001486605.1;1109112;Heliconiuspardalinus;Lepidoptera;0
GCA_905160925.1;1101095;Endotricha flammealis;Lepidoptera;0
GCA_900068275.1;1116483;Heliconiuscydno;Lepidoptera;0
GCA_922984205.1;1219204;Sicus ferrugineus;Diptera;0
Meteorus cinctellus;1080865;Meteorus cinctellus;Hymenoptera;0
GCA_913789915.3;1190790;Sphecodes monilicornis;Hymenoptera;0
GCA_910591665.1;1126389;Ectemnius continuus;Hymenoptera;0
GCA_944738655.1;1126402;Andrena hattorfiana;Hymenoptera;0
GCA_018237405.1;1141077;Thisbe lycorias;Lepidoptera;0
GCA_910591515.1;1167272;Cerceris rybyensis;Hymenoptera;0
GCA_900480045.1;1172129;Eurytoma adleriae;Hymenoptera;0
GCA_929113495.1;1190802;Andrena minutula;Hymenoptera;0
GCA_920104205.1;1124558;Eupeodes latifasciatus;Diptera;0
GCA_930367235.1;1206372;Sarcophaga rosellei;Diptera;0
GCA_900068315.1;1207006;Heliconiuscydno;Lepidoptera;0
GCA_900068495.1;1207007;Heliconiusmelpomene;Lepidoptera;0
GCA_018874535.1;1084936;Drosophila fengkainensis;Diptera;0
Meteorus colon;1080867;Meteorus colon;Hymenoptera;0
GCA_914767935.1;1226616;Coremacera marginata;Diptera;0
GCA_018232185.1;1337683;Junoniaevarete;Lepidoptera;0
GCA_941918925.1;1262321;Phyto melanocephala;Diptera;0
GCA_930367215.1;1266490;Pollenia angustigena;Diptera;0
GCA_018152825.1;1334208;Scaptomyza hsui;Diptera;0
GCA_932294355.1;1337163;Aporophyla lueneburgensis;Lepidoptera;0
GCA_937641085.1;1219171;Thecophora atra;Diptera;0
GCA_900068345.1;1608915;Laparusdoris;Lepidoptera;0
GCA_900068335.1;1608916;Laparusdoris;Lepidoptera;0
GCA_900068745.1;1608919;Heliconiuspardalinus;Lepidoptera;0
GCA_946251835.1;1411667;Andrena fulva;Hymenoptera;0
GCA_018246095.1;1377565;Toxidia parvulus;Lepidoptera;0
GCA_944452935.1;1385029;Rhogogaster chlorosoma;Hymenoptera;0
GCA_001510915.1;1501340;Heliconiuscydno;Lepidoptera;0
GCA_018153305.1;1395515;Drosophila kurseongensis;Diptera;0
GCA_929108735.1;1411666;Andrena dorsata;Hymenoptera;0
GCA_934046635.1;1419289;Buathra laborator;Hymenoptera;0
GCA_018467065.1;1373157;Ephestia elutella;Lepidoptera;0
GCA_025407655.1;1424507;Aedesaegypti;Diptera;0
GCA_900068535.1;1501341;Heliconiusmelpomene;Lepidoptera;0
GCA_018252035.1;1502686;Urbanussp.;Lepidoptera;0
GCA_945859555.1;1542540;Megachile ligniseca;Hymenoptera;0
GCA_018231605.1;1375868;Papilio ambrax;Lepidoptera;0
GCA_927399455.1;1371681;Calamotropha paludella;Lepidoptera;0
GCA_020976665.1;1557813;Heortia vitessoides;Lepidoptera;0
GCA_018233805.1;1500674;Junoniaevarete;Lepidoptera;0
GCA_014743375.2;1486046;Drosophila subpulchrella;Diptera;0
GCA_943734695.1;1496333;Anopheles maculipalpis;Diptera;0
GCA_018248735.1;1469280;Tagiades litigiosa;Lepidoptera;0
GCA_004153925.1;1437191;Osmiabicornis;Hymenoptera;0
GCA_001015145.1;1352481;Eristalis dimidiata;Diptera;0
GCA_018249655.1;1371081;Anisynta dominula;Lepidoptera;0
GCA_019059595.1;1555629;Marasmia exigua;Lepidoptera;0
GCA_016920775.1;1564500;Bradysia odoriphaga;Diptera;0
GCA_943734725.1;1521116;Anopheles marshallii;Diptera;0
GCA_016097205.1;1518534;Anopheles coluzzii;Diptera;0
GCA_017562165.1;1530245;Ectropis grisescens;Lepidoptera;0
GCA_016277805.1;1527559;Papilio aristodemus;Lepidoptera;0
Eupelmus azureus;1566849;Eupelmus azureus;Hymenoptera;0
GCA_001014425.1;1577620;Trichoceridaesp.;Diptera;0
GCA_020615435.1;1569972;Telenomus remus;Hymenoptera;0
GCA_907269125.1;1572519;Eristalis pertinax;Diptera;0
GCA_944452655.1;1539398;Ophion luteus;Hymenoptera;0
GCA_001014675.1;1577615;Ephydra gracilis;Diptera;0
GCA_001015075.1;1577616;Cirrula hians;Diptera;0
GCA_001015215.1;1577617;Holcocephala fusca;Diptera;0
GCA_001047195.1;1577618;Sarcophagidaesp.;Diptera;0
GCA_001014845.1;1577623;Mochlonyx cinctipes;Diptera;0
GCA_001015115.1;1577624;Eutreta diana;Diptera;0
GCA_001014665.1;1582032;Trupanea jonesi;Diptera;0
GCA_001014875.1;1577614;Condylostylus patibulatus;Diptera;0
GCA_018246335.1;1527572;Papiliothoas;Lepidoptera;0
GCA_018248035.1;1505875;Papilio joanae;Lepidoptera;0
GCA_002201625.1;1507135;Euglossa dilemma;Hymenoptera;0
Copidosoma aretas;1485371;Copidosoma aretas;Hymenoptera;0
GCA_003589595.1;1477025;Hyposmocoma kahamanoa;Lepidoptera;0
GCA_018232305.1;1476602;Spialia phlomidis;Lepidoptera;0
GCA_923062595.1;1594453;Marasmarcha lunaedactyla;Lepidoptera;0
GCA_945869435.1;1594294;Epinotia demarniana;Lepidoptera;0
GCA_905163555.1;1594315;Notocelia uddmanniana;Lepidoptera;0
GCA_022342985.1;1653868;Junonia nigrosuffusa;Lepidoptera;0
GCA_910589355.1;1594321;Parapoynx stratiotata;Lepidoptera;0
GCA_905220615.1;1594354;Tinea trinotella;Lepidoptera;0
GCA_018238005.1;1596008;Eurema mandarina;Lepidoptera;0
GCA_947049275.1;1594293;Epinotia bilunana;Lepidoptera;0
GCA_024741255.1;1601820;Exechia fusca;Diptera;0
GCA_933228675.1;1606781;Stomorhina lunata;Diptera;0
GCA_928269205.1;1594226;Agriphila tristella;Lepidoptera;0
GCA_947044815.1;1666458;Apomyelois bistriatella;Lepidoptera;0
GCA_018231205.1;1469290;Gomalia elma;Lepidoptera;0
GCA_018249695.1;1608923;Heliconiuserato;Lepidoptera;0
GCA_900068635.1;1608924;Heliconiusmelpomene;Lepidoptera;0
GCA_018244995.1;1616230;Ortholexis hollandi;Lepidoptera;0
GCA_910589405.1;1594250;Chrysoteuchia culmella;Lepidoptera;0
GCA_018247455.1;1607945;Katreus johnstonii;Lepidoptera;0
GCA_943193645.1;1666818;Acentria ephemerella;Lepidoptera;0
GCA_914767735.1;1667466;Anoplius nigerrimus;Hymenoptera;0
GCA_943789525.1;1660579;Agriphila geniculea;Lepidoptera;0
GCA_944452665.1;1660692;Stenoptilia bipunctidactyla;Lepidoptera;0
GCA_927400025.1;1594222;Agonopterix arenella;Lepidoptera;0
GCA_022318245.1;1674385;Augiades crinisus;Lepidoptera;0
GCA_018248695.1;1674424;Nascus phocus;Lepidoptera;0
GCA_018249155.1;1674429;Panoquinaocola;Lepidoptera;0
GCA_018237685.1;1674529;Pachythone gigas;Lepidoptera;0
GCA_018249675.1;1678306;Sericinus montela;Lepidoptera;0
GCA_018248835.1;1681819;Oxynetra aureopecta;Lepidoptera;0
GCA_018237465.1;1704403;Dianesia carteri;Lepidoptera;0
GCA_016171315.1;1712672;Anophelessp.;Diptera;0
GCA_001932985.1;1717472;Proctacanthus coquilletti;Diptera;0
GCA_023091795.1;1735703;Megaphragma amalphitanum;Hymenoptera;0
GCA_018904305.1;1740953;Scaptomyza montana;Diptera;0
GCA_918305855.1;1660703;Synanthedon vespiformis;Lepidoptera;0
GCA_018246255.1;2066002;Pachliopta kotzebuea;Lepidoptera;0
GCA_014737385.1;1869276;Bombus superbus;Hymenoptera;0
GCA_914767995.1;1918310;Thecocarcelia acutangulata;Diptera;0
GCA_018247155.1;1921484;Charidia lucaria;Lepidoptera;0
GCA_017140195.1;2056227;Eumaeus atala;Lepidoptera;0
GCA_018246235.1;2064775;Ornithoptera richmondia;Lepidoptera;0
GCA_018248015.1;2064825;Atrophaneura dixoni;Lepidoptera;0
GCA_018906755.1;2072516;Sycophaga agraensis;Hymenoptera;0
GCA_935421205.1;1870430;Xylocampa areola;Lepidoptera;0
GCA_018236965.1;2086723;Apodemia duryi;Lepidoptera;0
GCA_018236985.1;2086725;Apodemia multiplaga;Lepidoptera;0
GCA_018251875.1;2049228;Lychnuchoides ozias;Lepidoptera;0
GCA_018236305.1;2086726;Emesis phyciodoides;Lepidoptera;0
GCA_018235965.1;2086728;Apodemia nais;Lepidoptera;0
GCA_022343005.1;2086729;Apodemia hepburni;Lepidoptera;0
GCA_018237965.1;2086732;Apodemia hypoglauca;Lepidoptera;0
GCA_018237385.1;2086735;Apodemia murphyi;Lepidoptera;0
GCA_947086445.1;1870148;Pammene aurita;Lepidoptera;0
GCA_018237765.1;2086741;Apodemia walkeri;Lepidoptera;0
GCA_922987775.1;1857958;Agonopterix subpropinquella;Lepidoptera;0
GCA_934041175.1;1870436;Ypsolopha sequella;Lepidoptera;0
GCA_910591985.1;1870435;Ypsolopha scabrella;Lepidoptera;0
GCA_018250075.1;1825285;Orphe vatinius;Lepidoptera;0
GCA_913698375.1;1834408;Ceroptres masudai;Hymenoptera;0
GCA_943193695.1;1857951;Acrobasis suavella;Lepidoptera;0
GCA_943136025.1;1857961;Agrotis puta;Lepidoptera;0
GCA_937654215.1;1918221;Cistogaster globosa;Diptera;0
GCA_021223865.1;1867034;Drosophila pandora;Diptera;0
GCA_907269095.1;1869501;Blastobasis adustella;Lepidoptera;0
GCA_905404275.2;1869985;Hedya salicella;Lepidoptera;0
GCA_022343025.1;2086736;Apodemia palmerii;Lepidoptera;0
GCA_011636585.1;2164160;Tetramorium immigrans;Hymenoptera;0
GCA_024741295.1;1914935;Macrocera vittata;Diptera;0
GCA_018245895.1;2585877;Jonaspyge jonas;Lepidoptera;0
GCA_904066015.1;2006715;Synergus gifuensis;Hymenoptera;0
GCA_018251515.1;2233721;Cecropterus confusis;Lepidoptera;0
GCA_018249915.1;2233723;Cecropterusdorantes;Lepidoptera;0
GCA_018249275.1;2233728;Cecropterus evenus;Lepidoptera;0
GCA_018245175.1;2585872;Elbella theseus;Lepidoptera;0
GCA_018246635.1;2585874;Jemadiahospita;Lepidoptera;0
GCA_018246675.1;2585875;Jemadia scomber;Lepidoptera;0
GCA_018245575.1;2585876;Jemadia suekentonmiller;Lepidoptera;0
GCA_018246755.1;2585878;Jonaspyge tzotzili;Lepidoptera;0
GCA_018420115.1;2033416;Euura saliciscinereae;Hymenoptera;0
GCA_018245975.1;2585879;Ortholexis holocausta;Lepidoptera;0
GCA_018246715.1;2585880;Mimoniades fallax;Lepidoptera;0
GCA_018244735.1;2585882;Mimoniadesnurscia;Lepidoptera;0
GCA_018246595.1;2585883;Mimoniadesnurscia;Lepidoptera;0
GCA_018237025.1;2049107;Emesis russula;Lepidoptera;0
GCA_018249125.1;2025669;Asbolis capucinus;Lepidoptera;0
GCA_018251735.1;2201486;Eantismithridates;Lepidoptera;0
GCA_018232165.1;1987134;Junoniavestina;Lepidoptera;0
GCA_018235905.1;2086727;Apodemia chisosensis;Lepidoptera;0
GCA_018249335.1;2233720;Cecropterus casica;Lepidoptera;0
GCA_018251815.1;2049226;Lycas argentea;Lepidoptera;0
GCA_022318265.1;2049165;Pyrrhopygopsis socrates;Lepidoptera;0
GCA_018252135.1;1921488;Haemactis sanguinalis;Lepidoptera;0
GCA_009823575.1;1922239;Ganaspis brasiliensis;Hymenoptera;0
GCA_018251895.1;1945772;Agathymusmariae;Lepidoptera;0
GCA_018231625.1;1968088;Papilio phestus;Lepidoptera;0
GCA_014737405.1;2024865;Bombus opulentus;Hymenoptera;0
GCA_002806875.1;2004999;Lepidotrigonaventralis;Hymenoptera;0
GCA_018237505.1;2049203;Zabuella tenellus;Lepidoptera;0
GCA_904066005.1;2006714;Synergus itoensis;Hymenoptera;0
GCA_002245505.1;2010996;Calephelis nemesis;Lepidoptera;0
GCA_002245475.1;2010997;Calephelis virginiensis;Lepidoptera;0
GCA_003672135.1;2015173;Ooceraea biroi;Hymenoptera;0
GCA_018252075.1;1909386;Eburuncus unifasciata;Lepidoptera;0
GCA_018248755.1;2233676;Aurina azines;Lepidoptera;0
GCA_022318305.1;2201554;Gerosis bhagava;Lepidoptera;0
GCA_018231245.1;2201555;Gorgopas trochilus;Lepidoptera;0
GCA_018250895.1;2201521;Carterocephalus mandan;Lepidoptera;0
GCA_018251355.1;2201490;Ampittiadioscorides;Lepidoptera;0
GCA_018251255.1;2201600;Pyrrhopyge hadassa;Lepidoptera;0
GCA_018251675.1;2201603;Sarmientola browni;Lepidoptera;0
GCA_018248875.1;2201726;Zoniazonia;Lepidoptera;0
GCA_018250435.1;2233677;Autochton oryx;Lepidoptera;0
GCA_018250095.1;2201551;Eracon sarahburnsae;Lepidoptera;0
GCA_018250395.1;2233679;Autochtonpotrillo;Lepidoptera;0
GCA_018251055.1;2233685;Ectomis asine;Lepidoptera;0
GCA_018248775.1;2233687;Ectomis labriaris;Lepidoptera;0
GCA_018248795.1;2233690;Ectomis octomaculata;Lepidoptera;0
GCA_018248715.1;2233692;Ectomis perniciosus;Lepidoptera;0
GCA_018248455.1;2233693;Ectomis pervivax;Lepidoptera;0
GCA_018249515.1;2233695;Euriphellus phraxanor;Lepidoptera;0
GCA_018249495.1;2233702;Urbanus megalurus;Lepidoptera;0
GCA_018251475.1;2201553;Euphyes dion;Lepidoptera;0
GCA_018252055.1;2201545;Epargyreus spanna;Lepidoptera;0
GCA_018249395.1;2233716;Cecropterus acanthopoda;Lepidoptera;0
GCA_018251535.1;2201504;Autochton itylus;Lepidoptera;0
GCA_018250935.1;2201591;Piruna pirus;Lepidoptera;0
GCA_018250815.1;2201596;Potamanaxas melicertes;Lepidoptera;0
